step,splendid-violet-901,upbeat-frost-899,fresh-monkey-898,helpful-pine-897,silvery-waterfall-895
0.0,0.5981275143326233,0.5981275143326233,0.5981275143326233,0.5981275143326233,0.5981275143326233
1000.0,0.5975840749755121,0.5974122226076086,0.5978291042408633,0.5978244978139765,0.597567273857304
2000.0,0.5976477012468859,0.5969206304882837,0.5980274684986758,0.5979339691261505,0.5973276521164144
3000.0,0.597857293670235,0.5961158013406569,0.5975095022030102,0.5976999050599654,0.5971333524166778
4000.0,0.5973974647490122,0.5962249160775378,0.5975546166877853,0.5978550840657142,0.5972228898392897
5000.0,0.597103854972564,0.5952694128460917,0.5971794807981922,0.5978752371833439,0.5968843012683237
6000.0,0.5971170984498636,0.5952388930816008,0.5969498104780484,0.5973768793745291,0.5969551250817082
7000.0,0.5972288043018683,0.5952164367505277,0.5970073908141333,0.5974050937392107,0.5966349784130761
8000.0,0.5973606632715027,0.595227520965224,0.597109595910684,0.5974652651904194,0.5958953589960655
9000.0,0.5973655576000699,0.5952462345744516,0.5969534079140971,0.5974810997828427,0.5958913283725396
10000.0,0.5974047809022204,0.5944050276967596,0.5966505353462905,0.5969906592702395,0.5957709854701221
11000.0,0.5975472922340305,0.5943071793956666,0.5958419634768183,0.5970237679634883,0.595777031405411
12000.0,0.5975927806995376,0.593983277598991,0.5957599114978973,0.5966955600478044,0.5957991998348037
13000.0,0.5968371827392633,0.5939717375003813,0.595671318656681,0.596216491651578,0.5957227619386509
14000.0,0.5968584874636148,0.5939400683155347,0.5957502037171173,0.596176473317999,0.5947490784554552
15000.0,0.5968841107131726,0.5936617154310002,0.5941937382018644,0.5961891409919376,0.5946477370639458
16000.0,0.5969059912408848,0.5937011579612184,0.594207004622106,0.5962337657524035,0.5939285586662453
17000.0,0.5965328706630546,0.5937644963309118,0.5937921383006142,0.5962487366397855,0.5935896983883856
18000.0,0.5964126717114774,0.5937932864989542,0.5938358993560386,0.5962696847888439,0.5931503604240578
19000.0,0.596032641493317,0.5937231190875334,0.593840793684606,0.5963462666358369,0.593155254752625
20000.0,0.5959574991547262,0.5928901290542096,0.5935071880722903,0.5963690108685904,0.5921563655775938
21000.0,0.5960078819488005,0.5924790054545633,0.5933359885735879,0.5960076942596576,0.5921343214592897
22000.0,0.5961040411100623,0.5923891801302709,0.5933875229743839,0.5954733487407897,0.592481644015981
23000.0,0.5952823697141307,0.5914292223707612,0.5932319121161145,0.5955738264272579,0.5921142814717593
24000.0,0.5950796795727276,0.5914726955245053,0.5928801607327164,0.5951133861522627,0.5921643763641532
25000.0,0.5947531990671261,0.5910136362950684,0.5928813123394382,0.5948110893878169,0.591862511452228
26000.0,0.5942320970255577,0.5903246875738125,0.5928729631907059,0.5948513956230764,0.5918687013383572
27000.0,0.5939747129232582,0.5899520816240359,0.5927789632920473,0.5948712608390256,0.5911904612366812
28000.0,0.5939626210526804,0.588599231627721,0.5923924552860773,0.5948001491239608,0.5911983216624345
29000.0,0.593990835417362,0.5880860468823643,0.5923740295785301,0.5947964064021153,0.5909794747250819
30000.0,0.5939706365690616,0.5880676211748171,0.5923783481037366,0.5948182869298275,0.5909791868234014
31000.0,0.5934411853787609,0.587476846926586,0.5923099714546357,0.5949600538509312,0.5909915665956598
32000.0,0.5928238488987031,0.5869237877984905,0.5922918336487689,0.5942846411555598,0.5905286206935371
33000.0,0.5923103762516659,0.5868397205078065,0.5922932731571711,0.594304506371509,0.589299847244503
34000.0,0.5922156565988063,0.5865424324667735,0.5923659271157341,0.5941653059090237,0.5891598141968074
35000.0,0.5916568394371022,0.5865720863398572,0.5924260985669428,0.5941894896501794,0.588606066136728
