step,ethereal-flower-857,gentle-smoke-856,restful-frog-855,rich-paper-854,solar-bird-853
0.0,0.5769747953656832,0.5769747953656832,0.5769747953656832,0.5769747953656832,0.5769747953656832
1000.0,0.5669779314810286,0.5710300703910897,0.565594467939362,0.5749184564429188,0.5615869888997279
2000.0,0.5559261022127361,0.5580347663150635,0.5595435517173091,0.5674940010948497,0.5449909615665699
3000.0,0.5485850119561303,0.5410533753900503,0.5456471839786898,0.5573750668976952,0.5336648345871209
4000.0,0.5374509659780845,0.533996473719923,0.5423571894320945,0.5368238389989269,0.5265698698386453
5000.0,0.5294686025303174,0.5234343783765159,0.5407038990779305,0.5214876394943536,0.5118116044056453
6000.0,0.5263971502326532,0.5107325773930055,0.5321049441606501,0.5055639145832765,0.5019918653606018
7000.0,0.5005228376354153,0.4953552663717059,0.5187523261467666,0.48864253386924006,0.4909420209754392
8000.0,0.481657094257143,0.47779486433078194,0.501881246032096,0.47337539683051333,0.47931953780724823
9000.0,0.4762956768726047,0.4717515626228018,0.48934518249728887,0.4570111324350523,0.4735080875267216
10000.0,0.4685202708465523,0.4618703508497805,0.4862087839191966,0.44502442321249136,0.46613197429098807
11000.0,0.4523681154644306,0.44767657042060477,0.47544739742716347,0.43607734152736743,0.4513336781146669
12000.0,0.445858691239329,0.4351409237193825,0.4703919000948464,0.42478703934153356,0.43427162272848807
13000.0,0.4351665434663327,0.4284806483763947,0.4581785182394821,0.4150347202666462,0.4257627282902206
14000.0,0.41768895725206046,0.4143399281806884,0.43792421835154555,0.3919708982037441,0.41945251618899704
15000.0,0.4078283160083561,0.40244773552177665,0.4247595039013233,0.38175585263372813,0.4116786133674052
16000.0,0.394772144566658,0.39457002832145555,0.4092164313312512,0.37242384392506234,0.3993328430034251
17000.0,0.38599598380700356,0.38461881674879295,0.3945445794184574,0.3601625316112798,0.3913371502341332
18000.0,0.38056008526088586,0.38259904372999115,0.3775124836377378,0.3463063717665139,0.37472454191447085
19000.0,0.3753897608014141,0.3753699795807952,0.35913507457217464,0.333842404568566,0.3585669703315777
20000.0,0.355440692902532,0.3573617102069251,0.3582815748262397,0.32646516059178227,0.35061711854106126
21000.0,0.3500911439759964,0.3497373625073881,0.3502334779159303,0.319009758905058,0.3435453876228038
22000.0,0.343520883114381,0.3474501583360105,0.34309572088696416,0.3184278886075531,0.3326047118097956
23000.0,0.3344272462430694,0.33766202820596986,0.3334779696801552,0.31460103393275635,0.32656590944088637
24000.0,0.32574483424768813,0.33095098390922095,0.3148062545618852,0.30250946365388587,0.31694973319681446
25000.0,0.317027156200206,0.32283995946850025,0.29946150512259156,0.2913169268850246,0.30845013194126886
26000.0,0.3107652208053556,0.3106496972098829,0.2838396379062341,0.278640368866287,0.3031994553131763
27000.0,0.3010252819928529,0.29642876740944496,0.2755990219556606,0.2729347050156745,0.2961058715116686
28000.0,0.29388955978636766,0.2860776511249027,0.26780445849789875,0.2693103802437507,0.29288105169363127
29000.0,0.28262828398681555,0.27761609434136614,0.2610193139381779,0.2581182071415978,0.28566606984896187
30000.0,0.27617586179475867,0.2725177300946043,0.2560990987395524,0.2455727533179189,0.2778032209958307
31000.0,0.26523419354018546,0.26021443201279526,0.24872337752660692,0.2350654617806393,0.2693228448755012
32000.0,0.256671002030665,0.2526788232094416,0.243462157502462,0.23309645771559867,0.2588704132595502
