step,giddy-deluge-852,breezy-fire-851,whole-armadillo-850,glowing-elevator-849,polished-firebrand-848
0.0,0.5769747953656832,0.5769747953656832,0.5769747953656832,0.5769747953656832,0.5769747953656832
1000.0,0.573587084209108,0.5639267924740526,0.5687305832848905,0.5649660979947472,0.5677970499849563
2000.0,0.5618541783408638,0.5504214870003703,0.559564392990175,0.5446617360155805,0.5568881693549723
3000.0,0.5501830655359858,0.5444277081138802,0.5519136609652767,0.5279764992262904,0.5400082990012893
4000.0,0.5334274089267186,0.5325968122170306,0.5452255972584676,0.5183322612950522,0.5252642074558053
5000.0,0.5235979252512939,0.5271570480718947,0.5273844752437319,0.5037849416019443,0.5141949268443416
6000.0,0.5191494177971647,0.5097420931187913,0.518620338855201,0.4900466832248251,0.5092863108636506
7000.0,0.5052245813786387,0.5032981700369823,0.5062331675868371,0.472680631521917,0.4999573601522685
8000.0,0.4940503006494065,0.48290372448914,0.49402102805201453,0.46277767241272116,0.48481738266840513
9000.0,0.47928910595943136,0.4761057141436028,0.484362586741039,0.45178842151041504,0.47880238626984184
10000.0,0.4762264312897159,0.46592609380189226,0.4736144275427251,0.4469749151648405,0.47653961950154916
11000.0,0.4713962181926631,0.4566545164154509,0.4654684696478849,0.4330762219592043,0.46440712895672437
12000.0,0.4616732871755705,0.4469007985606521,0.4567323153908762,0.42257989153416226,0.4503805186435721
13000.0,0.4490578110972701,0.43406994102189794,0.44184033848418625,0.4023923447735498,0.4405774007498067
14000.0,0.4415082614690301,0.4226653136530886,0.43130515337830433,0.39163362300776083,0.4234235811739336
15000.0,0.4296732499294516,0.41779117501364244,0.4151400163621616,0.3846359221158846,0.4136229267761857
16000.0,0.40518683716994036,0.40669617245247547,0.39958711415900255,0.37511105400379896,0.3993387565004251
17000.0,0.39200034565449954,0.39761040115796303,0.39084522881621425,0.3694518430021105,0.39447348662322257
18000.0,0.3722529798161917,0.3855228826405066,0.3810739559380762,0.35935884465273965,0.37704247988041895
19000.0,0.36732130584562384,0.38320738275415367,0.36748846131508833,0.3412261505457058,0.3629140817605003
20000.0,0.35776423330793056,0.373797195962736,0.3596135779560993,0.32690178550782706,0.3481922035846873
21000.0,0.3508443876594556,0.3710282839962726,0.3493887293539541,0.31511640955587666,0.33823404492106934
22000.0,0.3431349461232723,0.3510722690064352,0.3239492071598365,0.2933327135728261,0.32713954066547996
