step,worthy-resonance-922,fiery-firebrand-921,silvery-breeze-920,leafy-pine-917,glorious-breeze-911
0.0,0.5159430115148491,0.5159430115148491,0.5159430115148491,0.5159430115148491,0.5159430115148491
1000.0,0.5160306549598668,0.5160969717120286,0.5153667120834775,0.5155600545036193,0.5159819972744659
2000.0,0.5160800076869493,0.51557865948201,0.5154036548289811,0.5155322443802439,0.5160032785516138
3000.0,0.5161410792680702,0.5155375185482273,0.5154395504574065,0.515567635100557,0.5159889777982132
4000.0,0.5161891834437984,0.5156011106592925,0.5154635208456383,0.5155858073379737,0.5160087698849596
5000.0,0.5162098046513423,0.5156293535559938,0.5154660075743958,0.5155837959878469,0.5160220440563311
6000.0,0.5162170622285115,0.5156510741044091,0.5154722001126695,0.5155895185597228,0.516053079962326
7000.0,0.5162290710158969,0.515679201878197,0.5154942649750132,0.5155976075069415,0.5153842035610432
8000.0,0.5157638001217859,0.5157256701668322,0.5155166927161888,0.5156098517631272,0.5153297149078176
9000.0,0.515708067445576,0.5159937685268596,0.5155616688844438,0.5156228931826324,0.5152935640476418
10000.0,0.5157063341235224,0.5158540592437133,0.515563559815819,0.5156322339025039,0.5152950741360119
11000.0,0.5157385316464267,0.5156975739299376,0.5156415035422109,0.515645646300607,0.5152963495652167
12000.0,0.5157566383518585,0.5157137985742855,0.5156744131724187,0.5157197815573941,0.5153572027077621
13000.0,0.515773670671139,0.5157444053048762,0.5149407931505998,0.5157662402141687,0.5154017056088936
14000.0,0.5157766802746233,0.5152638187426358,0.5149811459033478,0.5158721995097818,0.5154113243186894
15000.0,0.5152822004472688,0.5152713208181179,0.5149916329411226,0.5158611687802016,0.515406401900351
16000.0,0.5153608189663246,0.5153770799996212,0.5150344812856773,0.515893826158007,0.5152640437560394
17000.0,0.5153733006356522,0.5153900486132338,0.5150805223276641,0.5159381619021305,0.5150777221852527
18000.0,0.5154347880335385,0.5154236003887169,0.5150984103431101,0.515968065392921,0.5151162239214029
19000.0,0.5154493297038549,0.5154477354177927,0.5151132147458813,0.5159726667739954,0.51510380242015
20000.0,0.5154767653188914,0.5155138030491953,0.5151135187356642,0.5157428400314461,0.5151399030002025
21000.0,0.5154737246446975,0.5155789120358882,0.5152037887185865,0.5157552213679136,0.514728714619177
22000.0,0.5154830282478317,0.5155900827960869,0.5152064358107734,0.5157842288803611,0.514817508957517
23000.0,0.5154968124114809,0.5156040253389879,0.5151957063487836,0.5157678730134571,0.5148574022968829
24000.0,0.5151434891170528,0.5156691090001625,0.5152059106761456,0.5157654404372398,0.5149183858797379
25000.0,0.515097076507052,0.5154971782312061,0.5148973593172587,0.5157689245418225,0.5149180903314391
26000.0,0.5150658590491163,0.5155210765796379,0.5144363653766539,0.5157794163128844,0.5149312138830183
27000.0,0.5150669719624044,0.5153898030747068,0.514530060853812,0.5157902572878469,0.5149348751368937
28000.0,0.5150667961604742,0.5151765347922945,0.5145290041822647,0.5158013036186856,0.5149321734015447
29000.0,0.5150529728773882,0.5151650669538739,0.5145822743137265,0.5158102602833717,0.5149483615076583
30000.0,0.5150601823686252,0.515172003480485,0.5144318482608116,0.5158218099784133,0.5149170394966281
31000.0,0.5150651527918223,0.5151812928511913,0.5144499877241964,0.5158255932000598,0.5149287356706035
32000.0,0.5150661424547779,0.5149222236278789,0.5144540758614321,0.5158253079181804,0.5145016102640981
33000.0,0.5150665094535536,0.5147961505065297,0.5143593592255752,0.5157239596536394,0.5145549187855479
34000.0,0.5150729106705898,0.5148037418745913,0.5143490010606927,0.5157411395924422,0.5146050031496782
35000.0,0.5150780988788143,0.5143895179497948,0.5144129398109205,0.5156432119936916,0.5146256365768546
36000.0,0.5151040101180998,0.51431524101287,0.514422247677405,0.5156381398564431,0.514641159839929
37000.0,0.51511014178145,0.514321145056557,0.5144369392377557,0.5156278726941952,0.5146598586093936
38000.0,0.5151087424854786,0.5143021171130224,0.5144523476926969,0.5156488373568235,0.5146787708340336
39000.0,0.5149118376294347,0.5142918990498003,0.514466729647768,0.5156608444504613,0.5146891311665945
