step,divine-moon-1231,fresh-silence-1230,fast-waterfall-1229,graceful-haze-1228,silver-fog-1227
0,0.42400480965155707,0.42400480965155707,0.42400480965155707,0.42400480965155707,0.42400480965155707
200,0.43048369148749455,0.42717863777655707,0.4299587891437445,0.43169218758124456,0.42810942390936957
400,0.43233000496405705,0.43130766609686955,0.43200957039374455,0.43731657722968204,0.4283367798664008
600,0.43384062508124455,0.4341473267414008,0.43448454597968206,0.439678637776557,0.42889372566718204
800,0.43543364265936957,0.4384533570148383,0.43685271004218207,0.44141508797186957,0.42837797859686955
1000,0.43515593269843206,0.4425915406085883,0.43846403816718205,0.4425152466632758,0.42877775887030706
1200,0.43478667000311955,0.4422009156085883,0.43905913094061955,0.44441801765936956,0.43004729012030707
1400,0.4343395874835883,0.4430737183429633,0.4394192383624945,0.44526030281561957,0.43026091316718207
1600,0.4344891236164008,0.44542204597968205,0.4396191284992133,0.44548918465155707,0.43023955086249455
1800,0.43451514918680345,0.44652373054999456,0.43956572273749456,0.44603239754218205,0.43066984871405706
2000,0.434847790788366,0.4467266724445258,0.4394802735187445,0.4466808960773383,0.4312725708820258
2200,0.434725720475866,0.4473736451007758,0.43949248054999457,0.4463543579914008,0.4311489746906195
2400,0.43465386908253745,0.44781462410468204,0.4390087769367133,0.44678312996405706,0.43121916512030706
2600,0.43452264349659997,0.4485058472492133,0.43869597176093206,0.44676176765936954,0.4313336060382758
2800,0.4344570307036312,0.4484387085773383,0.43857695320624457,0.4468945191242133,0.43118559578436955
3000,0.43485223334034995,0.4488384888507758,0.4382763550617133,0.4473400757648383,0.4308437989093695
3200,0.4347927240630062,0.4474285767414008,0.438488452229682,0.4473858521320258,0.4321560547687445
3400,0.4345333246489437,0.44640471199530707,0.4385418579914008,0.447277514729682,0.43166167000311956
3600,0.43456536810597496,0.44579436043280707,0.4394756958820258,0.4475659058429633,0.4318249390460883
3800,0.43497125189503744,0.44589812019843206,0.4391461060382758,0.4474835083820258,0.43323637703436957
4000,0.43503839056691246,0.4462689087726508,0.4399151490070258,0.4478771851398383,0.43403593758124454
4200,0.4350521234770687,0.4473126099445258,0.44043547371405706,0.4481701538898383,0.43411223152655704
4400,0.43551446478566247,0.4474163697101508,0.44052092293280704,0.4483914063312445,0.43379179695624454
4600,0.43529778998097496,0.44687773445624457,0.4403179810382758,0.44797636726874457,0.43302275398749457
4800,0.4346767572661312,0.447155444417182,0.44038359383124454,0.4486187622882758,0.4324719117023383
5000,0.4350902704497249,0.4472942993976508,0.4403637574054633,0.4491558716632758,0.43253447273749457
5200,0.43500176947316244,0.44731413582343205,0.4408154175617133,0.4491238282062445,0.4332684204914008
5400,0.4353145746489437,0.447887866292182,0.4417401001789008,0.44917265633124454,0.4332745240070258
5600,0.4349849848051937,0.4472317383624945,0.44241301277655704,0.4493359253742133,0.4331371949054633
5800,0.4349880365630062,0.44687773445624457,0.44292265633124456,0.4488232300617133,0.43355070808905705
6000,0.4352275995512874,0.4474102661945258,0.4427502320148383,0.4478039429523383,0.4350628540851508
6200,0.43534356634816246,0.4472759888507758,0.4430706665851508,0.44752470711249454,0.4358166382648383
6400,0.43628655951222495,0.4472759888507758,0.4430248902179633,0.4474804566242133,0.4360790894367133
6600,0.4363460687895687,0.44783903816718207,0.44307829597968207,0.4490978882648383,0.43782622078436956
6800,0.4365871576567562,0.4483532593585883,0.4432507202960883,0.44926726082343205,0.4388470337726508
7000,0.435574109147741,0.44843413094061957,0.4431378052570258,0.4499478028156195,0.4394192383624945
7200,0.4348157473313347,0.44862333992499454,0.44367949226874454,0.4499096558429633,0.4396588013507758
7400,0.4348279543625847,0.449932544026557,0.44399382332343207,0.4503765747882758,0.439953295979682
