step,fanciful-smoke-1204,solar-terrain-1202,major-disco-1200,lyric-cosmos-1199,grateful-snow-1197,snowy-spaceship-1184
0,0.31874332432656216,0.31874332432656216,0.31874332432656216,0.31874332432656216,0.31874332432656216,0.31874332432656216
200,0.34693342849322883,0.3448066923821177,0.34571815071545103,0.3434395048821177,0.3426799562710066,0.3567424562710066
400,0.3549195396043399,0.3509264840487844,0.3718466229376733,0.3850410673821178,0.3783570396043399,0.36581363682656215
600,0.3797676298821178,0.3659004423821177,0.3905098173821178,0.3973783069654511,0.39760617154878447,0.3666382896043399
800,0.38402110210434004,0.36788611946545113,0.4068509632154511,0.4008071264098956,0.39508881043767335,0.3729750951598956
1000,0.3938518312710067,0.3727797826598956,0.41796207432656224,0.3997654597432289,0.3898479250210067,0.3800497479376733
1200,0.4221721437710067,0.38741736946545113,0.4113323000210067,0.3996678034932289,0.3887845569654511,0.37796641460434
1400,0.4427884632154511,0.3999607722432289,0.41689870627100667,0.3849868139098956,0.3900974909932289,0.3781183243265622
1600,0.4367771784932289,0.4142619875210067,0.40928151877100666,0.3735827340487844,0.38488915765989556,0.37978933127100667
1800,0.4398587757154511,0.43325070279878447,0.41488047710434,0.36977414029878436,0.3727580812710066,0.3734633764098956
2000,0.44682492154878445,0.4597263972432289,0.41625851529878444,0.3633288277987844,0.3738865534932288,0.37659922710434
2200,0.44521901877100667,0.4761326472432289,0.41193993890989555,0.35548377571545103,0.36808143196545107,0.37991953960434
2400,0.43844818543767333,0.4767294354376733,0.41190738682656225,0.34809445279878437,0.36431624099322885,0.37723941807656225
2600,0.45299896668767337,0.47471120627100666,0.42165131043767334,0.3401625951598955,0.36720252571545103,0.36499983474322883
2800,0.4741795222432289,0.4812324736321178,0.41982839377100667,0.3308092965487844,0.3693618139098955,0.36427283821545103
3000,0.4779555639098956,0.48116736946545113,0.41928585904878446,0.3151191923821177,0.37018646668767324,0.3539429771043399
3200,0.47689219585434,0.4639473173821178,0.41405582432656224,0.30610226529878437,0.36111528613211774,0.3456638972432288
3400,0.48525808127100667,0.4626560847432289,0.41284054654878444,0.29964610210433995,0.3597263972432288,0.33852414029878436
3600,0.4843357722432289,0.4367771784932289,0.40360660557656225,0.29329844585433995,0.3567099041876733,0.33409705696545106
3800,0.49592431390989555,0.3942099041876733,0.4021092097432289,0.2906508764098955,0.3534546958543399,0.33219818543767327
4000,0.5107463625210067,0.38354367154878444,0.4025323868265622,0.2904881159932288,0.35827240418767325,0.33341346321545107
4200,0.514413897243229,0.39222422710434,0.4031291750210067,0.28727631043767327,0.3615493139098955,0.3369073868265622
4400,0.5059503555765622,0.39660790765989556,0.40374766460434003,0.28577891460433996,0.3585219701598955,0.32257361946545104
4600,0.4845310847432289,0.4200888104376733,0.4051582548821178,0.2908244875210066,0.3607029597432288,0.32365868890989546
4800,0.4890666750210067,0.43851328960434,0.3986912409932289,0.28958750835433994,0.3573826472432288,0.3261109458543399
5000,0.49652110210434003,0.44448117154878447,0.3959785673821178,0.2859959284932288,0.3514147652987844,0.31803802918767327
5200,0.4894464493265622,0.4339994007154511,0.3932550430765622,0.2753948000210066,0.3423869875210066,0.3107680639098955
5400,0.48021250835434004,0.42962657085434003,0.3873739666876733,0.2694160673821177,0.3433852514098955,0.30659054654878437
5600,0.47448334168767337,0.41660573752100666,0.3840428034932289,0.27114132779878436,0.33927283821545107,0.30407318543767325
5800,0.4755033069654511,0.40622162293767333,0.38200287293767327,0.2714234458543399,0.33966346321545104,0.30253238682656214
6000,0.47012136252100667,0.40507144932656225,0.38021250835433995,0.2699260500210066,0.34093299446545106,0.3009373347432288
6200,0.4664755291876733,0.4081530465487845,0.3762411541876733,0.27157535557656215,0.3379165014098955,0.2935805639098955
6400,0.45417084168767335,0.40841346321545113,0.3768379423821177,0.27020816807656217,0.3255467097432288,0.28763438335433994
6600,0.45205495627100667,0.4075345569654511,0.3779230118265622,0.26400157085433995,0.3242663277987844,0.2842055639098955
6800,0.4559829076598956,0.3882094701598956,0.37919254307656214,0.2636651993265622,0.3237237930765622,0.2812758764098955
7000,0.4627103382154511,0.3798435847432289,0.38110226529878444,0.2602580812710066,0.31830929654878437,0.27714176182656214
7200,0.4613214493265622,0.3827407201598956,0.37476545974322883,0.25788177918767324,0.3134373347432288,0.2749499215487844
7400,0.4887954076598956,0.38112396668767334,0.37240000835433995,0.26365434863211773,0.30634098057656217,0.27116302918767327
7600,0.5136000951598956,0.37856320279878447,0.3785849041876733,0.261440806965451,0.3100844701598955,0.26579193543767327
7800,0.5303969701598956,0.37682709168767337,0.3817533069654511,0.2512737062710066,0.3054946264098955,0.26087657085433996
8000,0.5484308243265622,0.3654121611321177,0.3798869875210067,0.24595686599322883,0.30177283821545103,0.25353065071545106
8200,0.5592598173821178,0.37355018196545114,0.3700888104376733,0.2436348173821177,0.29921207432656216,0.2518921958543399
8400,0.5529230118265622,0.36892778613211774,0.3614842097432288,0.23461789029878438,0.2962498347432288,0.24887570279878438
