step,celestial-wave-894,genial-bird-893,clear-tree-892,eternal-capybara-890,usual-bush-889
0.0,0.5981275143326233,0.5981275143326233,0.5981275143326233,0.5981275143326233,0.5981275143326233
1000.0,0.5978948897748403,0.5982498725468037,0.5984279544206601,0.5975957599288793,0.597967872850828
2000.0,0.5976605378069747,0.597958372095374,0.5985687383423877,0.5977106326993686,0.5978364457337142
3000.0,0.5977754105774642,0.5980542433549553,0.5989977727039782,0.5976246940477619,0.5979017994151705
4000.0,0.5977661977236906,0.5981627822884753,0.5991766637537805,0.5973350649572549,0.5979049663336552
5000.0,0.5978583262614264,0.5970540729171605,0.5991855887058737,0.597005561484009,0.597232057598374
6000.0,0.5972983699923945,0.5967039844737643,0.5989526762464102,0.5966213566914824,0.5976292402156478
7000.0,0.5970270870907666,0.5968133871123256,0.5988559412817877,0.5959846621252236,0.5976672432374639
8000.0,0.5965578073516746,0.5966802325851293,0.5989506609346473,0.5951143353453002,0.5976491054315972
9000.0,0.5966617398583078,0.5967067195397283,0.5990076654673714,0.5947717399887762,0.5967134484317984
10000.0,0.5967794916456015,0.5959188520474813,0.5990785639720895,0.5948489883094413,0.5968913716703007
11000.0,0.5967806432523232,0.5954697254260191,0.5991727078215883,0.5949143419908977,0.5959698697123754
12000.0,0.5964152960198644,0.5950857929761187,0.5992300002559927,0.594551010070202,0.5959633966539363
13000.0,0.5964314185139683,0.5948989447855232,0.599211862450126,0.5945745308984196,0.5959939142320613
14000.0,0.5964564659601652,0.5949882629800675,0.5992236664190234,0.5940188806552003,0.5955043374244994
15000.0,0.596229247102138,0.5950135983279448,0.5987612963202616,0.5939782865182606,0.5954831712032169
16000.0,0.5962666743205931,0.5950703149589884,0.5987612963202616,0.5933169763583254,0.5955336825943945
17000.0,0.5962810694046143,0.5946669647047137,0.5988053452773665,0.5931901058650736,0.5951028377296392
18000.0,0.596324254656678,0.594581745807308,0.5986504389537084,0.5931279191021019,0.5950973675977111
19000.0,0.5963720463356286,0.59414226389214,0.5980029233803358,0.5931138119197611,0.5950332012216061
20000.0,0.5963936389616604,0.594090729491344,0.5980984898818329,0.5932465345944369,0.594885578960549
21000.0,0.5953602158797765,0.5937829965295202,0.5981151881792975,0.5933113124725323,0.5935828580666381
22000.0,0.5952500934870142,0.5931328806005716,0.5979191116942258,0.5930290248748761,0.5925585825788486
23000.0,0.595259976291964,0.5926411054976564,0.5972044356171535,0.5924539910712529,0.5923086366281572
24000.0,0.5952438537978603,0.5925830933090509,0.5957963518883505,0.5920589925335346,0.5921849220092166
25000.0,0.595310071184358,0.5925951851796287,0.5948633098341775,0.5917627578991644,0.591897020328792
26000.0,0.5948085464570584,0.592456992373025,0.5943560270732695,0.5917813632425235,0.5917558045545438
27000.0,0.594552601863161,0.592788450529417,0.5934561728693333,0.591675271473287,0.5915247013652117
28000.0,0.5937315866538033,0.592292683835726,0.5931610650208472,0.5916607324384255,0.5914122757590059
29000.0,0.5931962088488666,0.5922863499987566,0.5927927381105639,0.5912474495761761,0.5914275345480684
30000.0,0.593196496750547,0.5922290575643522,0.5927993598492137,0.5907991866597552,0.5908921474926748
31000.0,0.5926952599249279,0.5922068891349594,0.5928010872592963,0.5898684005269427,0.5910881066050823
32000.0,0.5927145493375163,0.5922097681517637,0.592834993071686,0.5893400839419418,0.5912178806109634
