step,exalted-dream-1214,comfy-puddle-1212,crimson-snow-1211,splendid-sun-1209,stoic-bird-1208,dulcet-bird-1206,good-deluge-1181,fresh-sound-1180,devout-wave-1179,dandy-leaf-1178,expert-totem-1177
0,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296
200,0.5923165830831629,0.460187676833163,0.586558770583163,0.6135353330831631,0.48835448043001217,0.696629083083163,0.44777361433316293,0.40739470808316297,0.4437579893331629,0.406093926833163,0.41366033308316297
400,0.690636895583163,0.442832208083163,0.657488458083163,0.753457208083163,0.5374091679300123,0.8079537188632726,0.461043145583163,0.413910333083163,0.49713298933316297,0.41137908308316296,0.41716033308316297
600,1.20302045073746,0.41960074567469297,0.7228400205831631,0.9518868955831631,0.8585361959518277,0.8099459063632726,0.462199395583163,0.447562676833163,0.5324650205831631,0.419621270583163,0.422304864333163
800,1.1032885356898894,0.39325308942469295,0.873215020583163,1.2058712705831631,1.4838330709518275,0.8812818438632726,0.461984551833163,0.446418145583163,0.5410626768331631,0.461422051833163,0.42115642683316296
1000,1.0004516407811308,0.40427652692469296,0.872797051833163,1.3303556455831629,1.4319424459518277,1.0791447080831629,0.46510173933316296,0.448414239333163,0.5742150205831631,0.537164239333163,0.419718926833163
1200,1.188910333083163,0.40987808942469295,1.9706691591981371,1.432527520583163,1.7332236959518275,1.626523614333163,0.470890801833163,0.447566583083163,0.6448829893331631,0.5373165830831631,0.418722833083163
1400,0.8235040830831631,0.40160074567469295,2.3005626768331626,1.4863388161958075,2.258022449180012,2.689179864333163,0.46814861433316296,0.449379083083163,0.6496681455831631,0.5507970518331631,0.429441583083163
1600,0.8845587705831631,0.40741324567469295,2.0932033018331633,1.7319794411958076,2.557186511680012,3.079054864333163,0.469629083083163,0.451765801833163,0.6565275205831631,0.5533517393331631,0.441879083083163
1800,0.9367150205831631,0.42915535087307255,2.1991408018331633,2.118416941195808,2.305561511680012,2.8936954893331626,0.461781426833163,0.45062908308316296,0.7207345518331629,0.5642736143331631,0.445890801833163
