step,volcanic-silence-913,serene-silence-912,sage-brook-909,woven-waterfall-906,sunny-energy-903
0.0,0.5296933531062924,0.5296933531062924,0.5296933531062924,0.5296933531062924,0.5296933531062924
1000.0,0.5239535304727918,0.5207797656495149,0.5320280608609219,0.5088988077933813,0.5212838222796048
2000.0,0.506077505181415,0.5121621772763206,0.5219152877747094,0.49309404314520716,0.5144186604077451
3000.0,0.49753981710271133,0.5003735845170286,0.49987745322203314,0.48385348809424644,0.49868553866072574
4000.0,0.48263977959973364,0.48550940288212585,0.4963889549581441,0.47398864857047274,0.474142615405921
5000.0,0.4667115019725665,0.47239372383445294,0.4915251311734219,0.46227731506559755,0.4598600027836068
6000.0,0.44008858522223065,0.465201541470507,0.46636327498129226,0.4552644083574237,0.44689102965841027
7000.0,0.42545712363642535,0.4523103734511471,0.4598846992429171,0.4419356777017563,0.4352442307776415
8000.0,0.41290241957293916,0.4366212887806442,0.44140234970588,0.4336996859052288,0.427033259376919
9000.0,0.39520941582989544,0.4217165671147827,0.424363611052753,0.42316528798890174,0.41061927991226876
10000.0,0.38073439445469265,0.4136991691280501,0.4066391105023752,0.40198512328221736,0.39177088179059805
11000.0,0.3704833889995202,0.40122451944972476,0.38225111046079036,0.3826950351995317,0.3820536416708025
12000.0,0.36200640698889147,0.3808784814369712,0.3673951310873125,0.3609538257424007,0.3668719898782036
13000.0,0.3522644753515345,0.36354771065814245,0.35316946892382833,0.3520569297938646,0.3538976670479578
14000.0,0.34240089471545165,0.3518594586217189,0.33190290747199086,0.34407714825451274,0.34333013821753633
15000.0,0.3341888910020801,0.33902880884899045,0.3054337310876368,0.3335459175935868,0.3295829850138694
16000.0,0.32629902811058686,0.33061478206192063,0.2951363873854074,0.31825362349536335,0.31359975123722045
17000.0,0.31448375804242823,0.31856322993690966,0.28014646369142676,0.3069709297758472,0.3063757147937685
18000.0,0.30974923955850153,0.3067512946968579,0.27060383047466013,0.3010180368384897,0.30082920148358333
19000.0,0.296332370630361,0.2964102918905857,0.2598096500637805,0.2920796758185304,0.28977200936196434
20000.0,0.2873352623366719,0.2904819157418692,0.2503550296117719,0.2833893831251669,0.2748398574280786
21000.0,0.280781708926302,0.277637780174768,0.23792572386283564,0.27276801971455605,0.26869766822764685
22000.0,0.271713364596895,0.27054961470487604,0.23173771211232636,0.26502064358820193,0.2596544904692603
23000.0,0.25988522422180804,0.2580272614370725,0.22760119546719842,0.26193381878171856,0.250347508398568
24000.0,0.2452647473323011,0.24758671035100457,0.2189488111508252,0.254504492515482,0.24120756284646128
25000.0,0.23353198185197707,0.24477818893896755,0.20968500617820351,0.24784394000759036,0.23030997663147604
26000.0,0.2208893263084603,0.23957947676704322,0.2021031160630244,0.23998875755202717,0.2211214640769489
