step,lemon-plant-1160,royal-flower-1159,flowing-frog-1157,neat-galaxy-1156,robust-sunset-1155
0,0.31874332432656216,0.31874332432656216,0.31874332432656216,0.31874332432656216,0.31874332432656216
200,0.33747162293767324,0.40092648404878445,0.42210703960434004,0.36127804654878437,0.3493856854376733
400,0.38452023404878444,0.4057875951598956,0.49066172710434003,0.41543386252100667,0.39096554654878446
600,0.39879974793767337,0.41186398404878444,0.51527110210434,0.45200070279878446,0.4383613798821178
800,0.4367988798821178,0.4127537409932289,0.5457615534932289,0.5199911541876734,0.44335269932656224
1000,0.5104533937710067,0.4268704944654511,0.5856704076598955,0.7927559111321176,0.4877971437710067
1200,0.5345853382154512,0.43930539029878446,0.61488047710434,0.8199694527987844,0.5032268312710066
1400,0.5412910673821177,0.44476328960434003,0.6418119007154511,0.8299737930765623,0.509042803493229
1600,0.5482572132154512,0.4588040882154511,0.6550280465487844,0.840585772243229,0.5139907201598956
1800,0.5517511368265622,0.46188568543767333,0.6677667618265622,0.8773479250210067,0.5165514840487845
2000,0.5600410673821178,0.46583533821545114,0.6750150257154511,0.8860935847432289,0.5242120743265622
2200,0.5658136368265623,0.4685154597432289,0.6802450604376733,0.8797567791876734,0.5300063451598955
2400,0.6279447132154511,0.4840536541876733,0.6811348173821178,0.9600519180765622,0.5303427166876733
2600,0.62366953960434,0.4835111194654511,0.6686348173821178,0.94095469585434,0.5311999215487845
2800,0.6360610326598956,0.49149723057656225,0.6739950604376733,0.9529338625210066,0.5373848173821177
3000,0.6546157201598956,0.5125258764098956,0.6565471437710066,0.9553644180765622,0.5363757027987844
3200,0.6547676298821178,0.5277385500210067,0.6687433243265622,0.9548869875210069,0.5385241402987845
3400,0.6767728382154511,0.5364408069654512,0.6703709284932289,0.9386977514098958,0.5353774389098955
3600,0.7293770048821178,0.5506552166876734,0.6734959284932289,0.9528579076598955,0.531015459743229
3800,0.7802016576598956,0.547617022243229,0.6713474909932289,0.9473674562710067,0.5236586889098955
4000,0.7820896784932289,0.5486803902987845,0.6740167618265622,0.9186999215487844,0.5189928902987845
4200,0.796933428493229,0.5500041750210067,0.6716730118265622,0.8821981854376734,0.50365000835434
