step,wandering-sky-937,woven-aardvark-926,vivid-deluge-925,skilled-lion-924,northern-silence-923
0.0,0.5159430115148491,0.5159430115148491,0.5159430115148491,0.5159430115148491,0.5159430115148491
1000.0,0.5161024805822583,0.5159370026438052,0.516016135737422,0.5160356461542903,0.5160411986041824
2000.0,0.516068196710203,0.5159370444574084,0.5156165092642859,0.5159840415416935,0.5161461000839848
3000.0,0.5160747123012632,0.5158962238727439,0.5156377688371621,0.5159859063205474,0.516158102725665
4000.0,0.5160776898564078,0.5160519049765202,0.5160809116428797,0.5155773697027127,0.5162546374712293
5000.0,0.5160921403978378,0.5160937567343375,0.5161076136767032,0.5156127219558512,0.5163227260540696
6000.0,0.5161056394647651,0.5161204035397883,0.5161078877610168,0.515612990424605,0.5163285993535659
7000.0,0.5161151764813767,0.5161324862309108,0.5161463621639689,0.515685824418388,0.516361189558401
8000.0,0.5161200533730771,0.5161613466791238,0.5161247156471753,0.5156826864660526,0.5164073960006279
9000.0,0.5161219559463258,0.5161955434761919,0.5160358218679533,0.5158218025287871,0.5164166388199238
10000.0,0.515632337978038,0.516211350350438,0.5160523246614543,0.5158130332867459,0.5164227378580047
11000.0,0.5156609447253507,0.5166124950430925,0.5160763659176384,0.5156290211394748,0.5164242679570842
12000.0,0.5156794031717573,0.516607233154141,0.5160829777102902,0.5156701491397127,0.5164487764994421
13000.0,0.5153077063563006,0.5167651534232339,0.5161662220328328,0.5155085007817435,0.5164677325069116
14000.0,0.5153793863568176,0.5167968638463681,0.5161682468595944,0.515558200366974,0.5164483363334826
15000.0,0.515408475660035,0.5168222586764727,0.5161557553389132,0.5150619045322232,0.5164293050385932
16000.0,0.5154423860132786,0.5168377020920351,0.5162195572071415,0.5150507978376403,0.5164586798418214
17000.0,0.5155088586391561,0.5171002811594807,0.5162316491467943,0.5150722848528015,0.5164760415718705
18000.0,0.5155739793430825,0.5171507125840438,0.5160323085079782,0.5151210892443455,0.515992615841507
19000.0,0.5155986539276384,0.5171871466868656,0.5161208847805343,0.5151611935271191,0.5160211916349229
20000.0,0.515143722987201,0.5173083483819864,0.5159434316446402,0.5147398434249716,0.5160424150855801
21000.0,0.5151680521232715,0.5173728919027701,0.5159772228699648,0.514780097172873,0.5160682974579767
22000.0,0.5151736465891631,0.51739300984694,0.5159857015057423,0.5148365079431643,0.5160889353486908
23000.0,0.5152693060444734,0.5169110103696163,0.5160036667193123,0.5149108580308346,0.516096848386011
24000.0,0.5152950137049073,0.5169550079603301,0.5160323096252866,0.5144561804489782,0.5161119943076958
25000.0,0.5153452888294805,0.5165734512409264,0.5160285595523152,0.514458601300028,0.5161443550095357
26000.0,0.5153403506897776,0.5165152441336864,0.5160504297377678,0.514452135389557,0.5161617361322013
27000.0,0.5150815052143484,0.5164709554668221,0.5160701226339033,0.5144698675316379,0.5161747094208192
28000.0,0.5145919177627271,0.516517858567155,0.5160809072937802,0.5143063363613486,0.5157650066793709
29000.0,0.5147316224496138,0.5167066502708466,0.5160817492893909,0.5143514374819863,0.5157976595994672
30000.0,0.5147536436807902,0.5167199640837161,0.516082732191476,0.5147108887301888,0.5157992169698116
31000.0,0.5147922356815554,0.516575398122508,0.5160922877188376,0.5147766580506025,0.5157812781578641
32000.0,0.5148135458911718,0.516595305065104,0.5160131612605529,0.5147507906926694,0.5158397713712921
33000.0,0.5148025483520279,0.5164793582554352,0.5160182552486103,0.5146501619352172,0.5158604579367063
34000.0,0.5148291323280593,0.5164917159746882,0.5160278689917911,0.5146469027880642,0.515881306458933
35000.0,0.5148054767074821,0.5163695918937431,0.5155011731631665,0.5146662468425622,0.5158877081267931
36000.0,0.514832166695464,0.5159540035629901,0.5153296714743175,0.5146869922581423,0.5158873427852054
37000.0,0.5148567840786945,0.5159644844481182,0.5153637781889718,0.5146802214007833,0.5158972608028451
38000.0,0.5148883871446454,0.5160226220027387,0.5155807485362763,0.5146894831418037,0.5159204353457031
39000.0,0.5149092103201408,0.5158414681194667,0.5155481243314166,0.5147019340219788,0.5159987707114868
40000.0,0.5145803666265683,0.5156422411482177,0.5152670637825401,0.5147132090280186,0.5160467176192634
41000.0,0.5143688485135324,0.5155931645610619,0.5152975610423727,0.5147328584966666,0.5160784705482452
