step,cool-voice-980,balmy-mountain-979,eternal-wood-977,feasible-sunset-976,grateful-dawn-975
0.0,0.10011045172306433,0.10011045172306433,0.10011045172306435,0.10011045172306435,0.10011045172306435
200.0,0.10011045172306433,0.1054348874994387,0.10011045172306435,0.10011045172306435,0.10011045172306435
400.0,0.29957900635553675,0.1054348874994387,0.10011045172306435,0.11663395827728573,0.13104624886690894
600.0,0.29957900635553675,0.12298599705597396,0.10011045172306435,0.13893769290246832,0.13104624886690894
800.0,0.29957900635553675,0.12298599705597396,0.10011045172306435,0.14534117957215698,0.13104624886690894
1000.0,0.29659269291381796,0.13965257537872122,0.10210617409191548,0.14534117957215698,0.13104624886690894
1200.0,0.29659269291381796,0.13965257537872122,0.11615388944352417,0.14534117957215698,0.13104624886690894
1400.0,0.3640565548362877,0.13965257537872122,0.2123544194944567,0.14534117957215698,0.13104624886690894
1600.0,0.3640565548362877,0.15488457070315947,0.2123544194944567,0.14534117957215698,0.18857104811721115
1800.0,0.37147294220081284,0.17141488570507957,0.2123544194944567,0.14534117957215698,0.26550063346101205
2000.0,0.38651091672410653,0.21599731556573332,0.2123544194944567,0.14534117957215698,0.26550063346101205
2200.0,0.38669156292436757,0.2048269686022356,0.2123544194944567,0.14534117957215698,0.26550063346101205
2400.0,0.41632200171520883,0.2093910234149568,0.2203751422866198,0.14534117957215698,0.26550063346101205
2600.0,0.41632200171520883,0.21165272873876073,0.22772552108604807,0.14534117957215698,0.26550063346101205
2800.0,0.41632200171520883,0.20699233967844677,0.25895907959389053,0.14534117957215698,0.26550063346101205
3000.0,0.41632200171520883,0.20699233967844677,0.25895907959389053,0.14534117957215698,0.26550063346101205
3200.0,0.41474060827913317,0.20699233967844677,0.25895907959389053,0.1656701989166095,0.26550063346101205
3400.0,0.41474060827913317,0.2598301034732801,0.25895907959389053,0.18681123743132758,0.267022955052275
3600.0,0.41474060827913317,0.2620617627236329,0.25895907959389053,0.19131170602550804,0.267022955052275
3800.0,0.41474060827913317,0.28055411382237694,0.25895907959389053,0.19274518314515973,0.2686804924498746
4000.0,0.41474060827913317,0.28055411382237694,0.25895907959389053,0.19274518314515973,0.25905706372707127
4200.0,0.41474060827913317,0.2812285796959722,0.2648134888917147,0.19274518314515973,0.25905706372707127
4400.0,0.41474060827913317,0.32722589188345796,0.2648134888917147,0.19274518314515973,0.29581826649713
4600.0,0.41474060827913317,0.32722589188345796,0.2648134888917147,0.19274518314515973,0.29053139155061297
4800.0,0.41474060827913317,0.34314252693599756,0.2648134888917147,0.18743223822070765,0.3083493586091132
5000.0,0.42408102764988304,0.3495756008861779,0.2648134888917147,0.19477611351008106,0.3028531605360256
5200.0,0.4572918937442642,0.3495756008861779,0.2648134888917147,0.19477611351008106,0.30126211086045795
5400.0,0.4572918937442642,0.35470897726937967,0.2648134888917147,0.19477611351008106,0.30126211086045795
5600.0,0.4572918937442642,0.35470897726937967,0.2648134888917147,0.19756093879676295,0.30126211086045795
5800.0,0.48012423435130475,0.35470897726937967,0.2648134888917147,0.19756093879676295,0.30126211086045795
6000.0,0.5541291062624912,0.35470897726937967,0.2648134888917147,0.19756093879676295,0.30126211086045795
6200.0,0.5493039896598264,0.35470897726937967,0.2648134888917147,0.19756093879676295,0.30126211086045795
6400.0,0.5637905978523591,0.35470897726937967,0.29630138762725855,0.19756093879676295,0.30126211086045795
6600.0,0.5685532680701035,0.3493947247272115,0.29630138762725855,0.19756093879676295,0.30126211086045795
6800.0,0.5685532680701035,0.3493947247272115,0.29630138762725855,0.19809625983997753,0.3019520312961634
7000.0,0.5891426332768294,0.3524036828544145,0.29630138762725855,0.19809625983997753,0.31016492802633727
7200.0,0.5891426332768294,0.4022230110412102,0.31446348511900596,0.19809625983997753,0.31016492802633727
7400.0,0.5891426332768294,0.4075865813873727,0.3826910562845195,0.20012621117661716,0.31016492802633727
7600.0,0.5891426332768294,0.4597732537831226,0.3826910562845195,0.20012621117661716,0.31016492802633727
7800.0,0.5969107915088658,0.4832425178808054,0.3826910562845195,0.25152236149744556,0.2902222557720343
8000.0,0.5990613973813891,0.4769584192234909,0.3894220135534307,0.25152236149744556,0.2902222557720343
8200.0,0.5990613973813891,0.4769584192234909,0.3894220135534307,0.2550841491156738,0.31291175733011245
8400.0,0.5507986763710112,0.4809169882400627,0.3894220135534307,0.2550841491156738,0.3174869696336487
8600.0,0.5507986763710112,0.5022865180026025,0.3894220135534307,0.2550841491156738,0.3174869696336487
8800.0,0.5507986763710112,0.5022865180026025,0.38262786328558557,0.24645099310228333,0.3174869696336487
9000.0,0.5436969939112095,0.5022865180026025,0.38262786328558557,0.24645099310228333,0.3174869696336487
9200.0,0.5436969939112095,0.543999007754606,0.38262786328558557,0.24645099310228333,0.3174869696336487
9400.0,0.5436969939112095,0.5498489328195769,0.38262786328558557,0.24645099310228333,0.3174869696336487
9600.0,0.5952794335601188,0.5498489328195769,0.5281642348905663,0.2925931233322655,0.3453812664591063
9800.0,0.593769764743195,0.5689576264422611,0.6620261406366343,0.2947497589361635,0.3453812664591063
10000.0,0.5999821639230796,0.5689576264422611,0.6613830193620501,0.2947497589361635,0.3453812664591063
10200.0,0.5999821639230796,0.5701218935506346,0.6613830193620501,0.2947497589361635,0.3453812664591063
10400.0,0.5999821639230796,0.5701218935506346,0.6844250349164347,0.3131608354108938,0.3453812664591063
10600.0,0.625949413974658,0.613169094939669,0.6902203050848558,0.3131608354108938,0.3997236215345272
10800.0,0.625949413974658,0.627448746167976,0.6902203050848558,0.3131608354108938,0.3997236215345272
