step,scarlet-salad-1226,easy-frost-1225,major-music-1224,valiant-wildflower-1223,generous-durian-1222
0,0.42400480965155707,0.42400480965155707,0.42400480965155707,0.42400480965155707,0.42400480965155707
200,0.43736845711249456,0.42633330086249455,0.43334929207343204,0.42816740730780706,0.42697417000311955
400,0.44355131844061957,0.42891508797186956,0.4434643433429633,0.43314482429999457,0.43744780281561957
600,0.4588894532062445,0.43464018562811957,0.4480450318195258,0.43585173347968204,0.4434704468585883
800,0.47689177254218207,0.441723315510932,0.4524975464679633,0.4367947266437445,0.4507092163898383
1000,0.4865048096515571,0.45376555183905704,0.4570751831867133,0.4369518921710883,0.458050219807807
1200,0.4885037110187446,0.45743681648749457,0.4662396118976508,0.436596362385932,0.45790068367499454
1400,0.4897656128742134,0.46403776863593205,0.4697521851398383,0.436779467854682,0.45799528816718205
1600,0.4906567261554634,0.47281157234686955,0.4705151245929633,0.4371777222492133,0.45740324715155706
1800,0.49069487312811966,0.477123706135932,0.4754040406085883,0.4378094361164008,0.45711333015936956
2000,0.4905590699054634,0.48355681160468206,0.48178068855780704,0.43816496590155707,0.45647246101874456
2200,0.4906994507648384,0.48675810554999455,0.5032803223468696,0.43756682137030706,0.45959746101874455
2400,0.4905926392414009,0.4867993042804633,0.5125210450031196,0.4376598999835883,0.46770292976874456
2600,0.4903332398273384,0.48681608894843204,0.512652270589057,0.43844572762030704,0.46983305672186954
2800,0.49064451912421336,0.4867596314289008,0.512243335042182,0.4386639283039008,0.47056853035468205
3000,0.4908230469562446,0.48698393562811954,0.507006518635932,0.4387188599445258,0.47304655769843207
3200,0.4912167237140571,0.4875378296710883,0.506750170979682,0.43985258797186955,0.475811450276557
3400,0.4909283326007759,0.4879421875812445,0.508581225667182,0.44074980476874454,0.4768719361164008
3600,0.49114653328436964,0.4877850220539008,0.5091213867999945,0.4454052613117133,0.4765026734210883
3800,0.4916592285968696,0.4879315064289008,0.509844653401557,0.4464794800617133,0.4768643067218695
4000,0.49186369637030714,0.48920561531561957,0.5115811035968696,0.45114104012030704,0.4767346070148383
4200,0.4921353028156196,0.4892254517414008,0.512273852620307,0.45156218269843207,0.4758984253742133
4400,0.4933239624835884,0.4891857788898383,0.5132595703937446,0.45170561531561954,0.476147143635932
4600,0.4940884278156196,0.4893902466632758,0.5135693238117133,0.45079008797186954,0.4758618042804633
4800,0.4948788330890571,0.48947417000311955,0.5125805542804633,0.450268237385932,0.47662321785468204
5000,0.49464384773749465,0.48977019051093207,0.5117474243976508,0.44989592293280706,0.47818266609686955
5200,0.4952328369953071,0.49053923347968204,0.5125332520343695,0.4510723755695258,0.4781994507648383
5400,0.4956158326007759,0.49073759773749454,0.5121349976398383,0.4509411499835883,0.4795788452960883
5600,0.4962399170734321,0.49071259656700955,0.5123638794757758,0.4521404908039008,0.4796063111164008
5800,0.49789396980780715,0.49045319715294705,0.5127484009601508,0.4519207642414008,0.47872282722968207
6000,0.4991772339679634,0.49061799207482204,0.5121731446124945,0.4515209839679633,0.4780987427570258
6200,0.4993145630695259,0.4910391346529471,0.5119625733234321,0.45312468269843204,0.4781460450031195
6400,0.5002346680499946,0.4911459461763846,0.5119488404132758,0.45549284676093205,0.47789885262030707
