step,silver-yogurt-958,fragrant-fog-956,fast-pine-954,smooth-wildflower-952,major-morning-950
0,0.11569972979637774,0.11569972979637776,0.11569972979637776,0.11569972979637774,0.11569972979637774
200,0.18226541218229292,0.15628400992949332,0.11496246289361106,0.2906600426804568,0.20935287013448944
400,0.24341448887743594,0.30183342516746964,0.26589286775979404,0.45186397319308097,0.28168476106083334
600,0.24088229178870962,0.36925870508839265,0.27808823580440717,0.5749788646497416,0.30615912610622487
800,0.24193936457559506,0.4377087980751813,0.3304161896206272,0.7024709641562628,0.3106744363265148
1000,0.28465769283895437,0.5175426211677583,0.3714769432848699,0.727661813095401,0.3888532917944551
1200,0.28517711206889274,0.5342835964856933,0.46862396628718594,0.8496210073586458,0.4547508603848995
1400,0.3139962214609374,0.6010280478456214,0.5313629827027097,0.9353413251900033,0.4760661260095431
1600,0.3135829234407055,0.6061635449915348,0.5427624365134458,1.054720870643045,0.4984868531253107
1800,0.3163576344481462,0.6077229923195132,0.5441373196760954,1.0685767446005525,0.5004860193908762
2000,0.31730431970641404,0.5567122079210316,0.5932292284350971,1.1833772835227288,0.5169548516541885
2200,0.31652471480769706,0.5449710362864957,0.6088062493967538,1.216141419724432,0.530361241590283
2400,0.32273612467262913,0.4791412008701474,0.608773260643882,1.2359672923930813,0.5909730889139473
2600,0.3314008740245489,0.45881303498777626,0.6237287983847137,1.231299073347474,0.6046389182162342
2800,0.3281115929674288,0.4500261245416708,0.625424076897162,1.2423568829078753,0.6096565603200959
3000,0.3382300586252606,0.4149222865765374,0.6239624250574887,1.241230051165744,0.6120738219743681
3200,0.3373898951344404,0.43438795809245845,0.6349129976118543,1.2320141946906746,0.6176955869991596
3400,0.34380096266341237,0.4476571770985382,0.6417620739928263,1.2390929323110396,0.6183384286304621
3600,0.31585018636458656,0.4511892423614508,0.6280136941234136,1.2294182918404308,0.6183062882404629
3800,0.25618263456840096,0.46641479213553255,0.604473252288273,1.2302792092331227,0.6186779174667705
4000,0.2528183690243343,0.45534490236769676,0.5903076810800193,1.2279188088245843,0.6197113932765418
4200,0.24705295907900254,0.4449154779284503,0.5902663530284428,1.2349111388191925,0.6214067432674785
4400,0.24585176975155443,0.446726407552567,0.5833901623683443,1.2184596197176405,0.6479251989191962
4600,0.24513207453712366,0.44421046677828124,0.5791062147331524,1.218207688593532,0.6615512901610656
4800,0.23497820832477218,0.4413374387869867,0.5757865448857403,1.2375000246410044,0.665427568558818
5000,0.24329282401993818,0.43974641301844725,0.5739380527147078,1.233386555871279,0.6599085531946346
5200,0.2327360065102218,0.43767036615107846,0.5721203874671057,1.0474394080272713,0.6553254986440838
5400,0.21657370756076744,0.43693661247702353,0.5714726366587793,1.00699736658187,0.6535043094679571
5600,0.2155841881279399,0.43633137649193376,0.5723284631667036,1.029317913391146,0.6522130162723642
5800,0.2143384952519803,0.4331940759949982,0.5669457132218305,1.0321267703677304,0.6542130347812793
6000,0.21359735931875576,0.4263838191242075,0.5635902172139531,1.0223169625540087,0.6504130884873114
6200,0.2139791248595661,0.42008915547769987,0.5612895123951249,1.009865109273019,0.6463073680550605
6400,0.21589646728793485,0.4243989965592553,0.5602568244729883,0.9970926407673495,0.6398550015956526
6600,0.21395556921396552,0.41132543041611297,0.5592569863679052,0.9791220405076866,0.6390611840371934
6800,0.1996427874483158,0.4064365151183606,0.558537562355538,0.9726856131154067,0.6535408941113954
7000,0.1840611309206394,0.37202091166910184,0.5343435943169044,0.9417181200870832,0.5475066508821068
7200,0.18277584977080447,0.3628632248991698,0.5236036911189492,0.9350922264948105,0.5118342039394081
7400,0.18739712590713895,0.356493449959985,0.5158834025441204,0.9322907002472418,0.4755874828169723
7600,0.18909126171632368,0.33359170823124873,0.4991590975488911,0.9316763842150263,0.4711684706032799
7800,0.16318857967775102,0.3268688234211504,0.49724310611639677,0.9317255526011115,0.45376874534388567
8000,0.1604822951628168,0.3259273449166477,0.4923529465832661,0.9300537396515779,0.4407092510599693
8200,0.15532897962064726,0.3252916985448565,0.4316525770262578,0.9259754508384019,0.4283851687271557
8400,0.14876521424278277,0.28538013995103795,0.43024723784371793,0.9248525116031823,0.4259850779312928
8600,0.14672535975963438,0.2824211103902192,0.418749742397606,0.9241173587907087,0.3882980477182632
8800,0.14533811161958196,0.278324409795752,0.4107280477647618,0.9220115573283014,0.38217313697926036
9000,0.14496502386022755,0.2853547941786335,0.3945911924208474,0.9125654103784223,0.3820778142596327
9200,0.14462364289511967,0.28733986133905165,0.3777830895813884,0.9077925639743241,0.38370738154521633
9400,0.14138683165511626,0.28775369510902926,0.3740631420497387,0.9068333253395781,0.38819713402688716
9600,0.14122867998185018,0.29099976902947006,0.3246076531920681,0.9060909314380141,0.3515783884889532
9800,0.14091975400783247,0.29255409925094567,0.3257091811118874,0.9061203458273108,0.3259681206833326
10000,0.1409890011460093,0.29211517723213226,0.31971910626888345,0.9044485877647241,0.302431610337065
10200,0.14112874485707994,0.2926809458477994,0.3148818802629008,0.9036745643057098,0.28710568546322046
10400,0.14081985874296674,0.2956130342822961,0.302285182134527,0.9032041482186273,0.2632626823819858
10600,0.14037308493766926,0.29703646789350113,0.30102912975164037,0.90154865397099,0.26436637326020296
10800,0.14019689058658924,0.29734173075567594,0.3002229490081585,0.9011396214140861,0.25713550543421726
11000,0.140221738138203,0.2588410538538864,0.2930782659569221,0.9012059864250914,0.26066527480267754
11200,0.13973040633460604,0.2426383893684972,0.28842733461933134,0.9011813546796755,0.2574542228794973
11400,0.13565857194285227,0.223285274015633,0.28606506310417157,0.9004040859491946,0.25742820995288973
