step,super-plasma-919,generous-dragon-918,soft-brook-916,avid-yogurt-915,noble-monkey-914
0.0,0.5981275143326233,0.5981275143326233,0.5981275143326233,0.5981275143326233,0.5981275143326233
1000.0,0.5968102201938409,0.5981475234994128,0.597601661913328,0.5983948106305217,0.5975579008579034
2000.0,0.5960898808971189,0.5981918603581983,0.5976349783374643,0.5983727861519692,0.5970532814141387
3000.0,0.5953897040103264,0.5982462737757984,0.5974049448948051,0.5983963940897641,0.5970674928082317
4000.0,0.5952659062877439,0.5978986324966858,0.5968015029726353,0.5980238493152947,0.5971391803266575
5000.0,0.5942484617491237,0.5978469541450496,0.5967427710298286,0.5979808110120975,0.5972336120778367
6000.0,0.5943734110784279,0.5979019433660108,0.5968913282969277,0.5980645904011012,0.5973234374021291
7000.0,0.5939634390855034,0.5980479095179859,0.596920694268331,0.5981043208329997,0.5974075046928131
8000.0,0.5938307164108276,0.5978319832576675,0.5970280815951294,0.5981901155337662,0.597429097318845
9000.0,0.5934440644540175,0.5978639403441947,0.5969788504077768,0.5982528781000988,0.5974722825709086
10000.0,0.5925544482615057,0.5979822679348492,0.5965016491032143,0.5979432398428022,0.5974817833263626
11000.0,0.5926246962715294,0.598036393450769,0.5963038606487627,0.5980215490998777,0.5967827246295577
12000.0,0.5926388034538701,0.5980759266512985,0.5962788132025658,0.5975675281498481,0.5958323415331159
13000.0,0.5926195140412817,0.5978723996134971,0.5962854349412156,0.5975928634977256,0.595858999552001
14000.0,0.5926465767992416,0.5971431233084048,0.595776424770225,0.5972278155495669,0.5954982070892181
15000.0,0.5926819887059338,0.5971569425890652,0.5957968657895352,0.5973357786797261,0.5955218150270128
16000.0,0.5925565343000608,0.5972539654553682,0.5961532536617422,0.5973956622292544,0.5955385819980901
17000.0,0.5926469354277142,0.5968498954468924,0.5958361299607546,0.5971060331387473,0.5951457148958914
18000.0,0.5926382983773014,0.5968596841040268,0.5957559493427564,0.5963855168051005,0.5951696107353666
19000.0,0.5926994774843917,0.5968559413821813,0.5945394815729347,0.5963524081118518,0.595061359703527
20000.0,0.5927055234196805,0.5960439146925439,0.5942210556785769,0.5963866684118223,0.5950590564900836
21000.0,0.592139661959106,0.5945900063772405,0.5936225147207825,0.5964298536638859,0.5950754668858678
22000.0,0.5917995061236844,0.5945010447579893,0.5936705943014134,0.5961177682423058,0.5944098382007262
23000.0,0.5916692306132924,0.594155887867416,0.5936898837140019,0.5961302269402264,0.5942211520659421
24000.0,0.5916220147377027,0.5936952451787368,0.5938126968941431,0.5961466373360106,0.5943020524381414
25000.0,0.5906199175219798,0.5936889113417675,0.593944266388487,0.595081720015885,0.5937898603842113
26000.0,0.5906409343446508,0.5932930465311838,0.5936284382450613,0.5950188922214511,0.5937800142312339
27000.0,0.5906204933253407,0.5930105096912769,0.5935597304929734,0.5944922217166725,0.5938021826606266
28000.0,0.5902625430027381,0.5929517428133169,0.592666947381977,0.5945174131137096,0.5937863480682032
29000.0,0.5900618755314821,0.5928803643197996,0.5926899795164109,0.5945456274783912,0.5936739224619975
