step,soft-spaceship-910,cerulean-mountain-908,comfy-plant-907,wandering-frog-905,cosmic-glitter-904
0.0,0.4952212913380737,0.4952212913380737,0.4952212913380737,0.4952212913380737,0.4952212913380737
1000.0,0.49422310051268065,0.4942063653896143,0.4943750275227818,0.49459433059158053,0.49439131645030004
2000.0,0.49180358107315286,0.4937892561727069,0.49553090133862415,0.4930730524194341,0.49271306321293323
3000.0,0.49076527881638987,0.49316068915919936,0.4937719057988528,0.4942740607272121,0.49191583190530735
4000.0,0.49169847137066297,0.49248602353479354,0.4935782522626586,0.4903471874328797,0.4911652420954021
5000.0,0.49114093178723406,0.4906116689860998,0.49312422303615505,0.48876293826211586,0.49189251631855163
6000.0,0.489362900104669,0.490411095094373,0.49167107590062126,0.4886257357557029,0.4917901860510689
7000.0,0.4907865125273155,0.48862808620181697,0.4921582354497156,0.4881669128147197,0.4897661956695135
8000.0,0.48540169784344633,0.4870862132598564,0.4924043338404865,0.4887561328382193,0.4899078433076608
9000.0,0.48627735779866155,0.48577719939604574,0.4920648863048646,0.4886820539779978,0.48900034890308125
10000.0,0.4873457916423948,0.48417497822414046,0.489846001886089,0.48849614077619935,0.48552622904274184
11000.0,0.4855690767527541,0.4822575088799097,0.48970564295065916,0.48831388345841303,0.4842912020510111
12000.0,0.48483411413055205,0.482106982617111,0.48866913365628434,0.48826921275733975,0.48420029293693256
13000.0,0.48315733570900504,0.4826532652188537,0.4856934200274678,0.48671678097240756,0.4822430080542993
14000.0,0.4807686388863486,0.4810441555007961,0.48561228477020196,0.485791601632095,0.48176722988732107
15000.0,0.4786034216491089,0.4776385101552333,0.4842352818376997,0.4856734999855491,0.48069358503563214
16000.0,0.47792818615046134,0.4752163815292803,0.4825448931471946,0.4853104655492932,0.47967329271060694
17000.0,0.47405446844303695,0.47403164067703085,0.4811651317157516,0.4831523122177354,0.4760427855004517
18000.0,0.4724188005225709,0.4722655229585502,0.4809854531677011,0.48341741443153424,0.4741193734577268
19000.0,0.47053412428578634,0.47021102363150435,0.48089393595727153,0.48236511821503464,0.47283788371822055
20000.0,0.47021729313325344,0.4685772828752786,0.4808000619995916,0.48013549833444713,0.47142375995280184
21000.0,0.46762137629380596,0.4668612437649788,0.4816427606606865,0.48087080392567527,0.4707954349811192
22000.0,0.4657265026725454,0.46253895558182007,0.481524728117118,0.4811977174498874,0.46545945495529206
23000.0,0.46451093520090775,0.4596641047113573,0.47995684630370344,0.4804321079344833,0.46372900406315076
24000.0,0.4637578482605002,0.45932308816070916,0.4755004187845815,0.47999857173645405,0.46192208432032356
25000.0,0.4637742058171455,0.45756734318785275,0.4753635127017163,0.4792785790956957,0.4607434847398492
26000.0,0.462403823677452,0.45642547240074366,0.4749229623325141,0.47643734448611197,0.46072160506838455
27000.0,0.4604526632556035,0.4561773973686102,0.4734400703825273,0.47628312680574414,0.4604629420304637
28000.0,0.4602012674848156,0.4538699002012625,0.4719466253310538,0.4749096518587173,0.4577940089438108
29000.0,0.45816644476795704,0.45388182096167623,0.4712680498548568,0.47310421450998985,0.45596452331938375
30000.0,0.4579609420285048,0.450483876138656,0.4688206327571056,0.470443127312275,0.455132036570235
31000.0,0.45705221142630365,0.4482152856144415,0.4677778804171732,0.46719861525389533,0.45260236169623497
32000.0,0.45449067678560096,0.44495122341662513,0.4672641472996093,0.467561369775514,0.4512607560199061
33000.0,0.45459418435293536,0.4434603357224858,0.4655923837215839,0.46774686131804527,0.45036466082574633
