step,fearless-aardvark-888,quiet-paper-887,winter-vortex-886,expert-darkness-885,swept-salad-882
0.0,0.5296933531062924,0.5296933531062924,0.5296933531062924,0.5296933531062924,0.5296933531062924
1000.0,0.5227490174864701,0.5203755367220658,0.5117072349492658,0.5214280296827319,0.5261343253285145
2000.0,0.5112238062118477,0.5132302520936467,0.49922488990063174,0.5100744938707147,0.5132871031062922
3000.0,0.495842079186411,0.49555276473132504,0.4919902501592463,0.5069612834641477,0.5073788999812922
4000.0,0.4863668911586397,0.463152925136861,0.4832798165230236,0.4767457013670457,0.48967251861026767
5000.0,0.4646382915452068,0.43764925162710916,0.46671554203590737,0.46028982427315385,0.47767737945416705
6000.0,0.44276960119492936,0.4199469342915102,0.44892645668678205,0.44738382745602423,0.469889951891217
7000.0,0.4234806319242622,0.4067051400068939,0.41924334325785906,0.43252842384892504,0.4439630657446305
8000.0,0.40808298042054153,0.390544726208891,0.4111260378053886,0.41054588600000147,0.43226617329175554
9000.0,0.39842601133622996,0.3767725777023659,0.3980877156823237,0.3884459369783392,0.4143959109668036
10000.0,0.3788790239654135,0.3592478250469354,0.3860528748914665,0.37016376965548947,0.4083251547079481
11000.0,0.3644591682789629,0.3494595944335095,0.3652651268266084,0.3553328557856845,0.3953624382721509
12000.0,0.35301723396449314,0.33613444912050183,0.3511389549825696,0.34144547377242657,0.38028270416745635
13000.0,0.34280465611395505,0.3233684211673533,0.33644520943821277,0.32143144742734386,0.3726031251744008
14000.0,0.3278496093476028,0.30598148518689633,0.32914466093921135,0.30079493375001537,0.35533607312212073
15000.0,0.3047567717913881,0.2963086125756191,0.31998147547997347,0.28425738311210347,0.34234791015651206
16000.0,0.2894759145900783,0.28498206719295066,0.3187444349823603,0.2768531683177646,0.3364975028776743
17000.0,0.28371650795099174,0.2716167148310112,0.31562738554593656,0.27233661978526674,0.31989854217304087
18000.0,0.27320558820675794,0.2626889441222874,0.307539910165853,0.263347693069243,0.307255394352551
19000.0,0.26652419896658147,0.26028664892944214,0.2991687890700071,0.25490862586346713,0.291940858426814
20000.0,0.2546007241641029,0.24877217481354463,0.2936026878431756,0.24424647612031686,0.2840980302266165
21000.0,0.24730395079969014,0.2407583104981537,0.2892533985366563,0.23456959588916781,0.26955790883837316
